P_ID,PG_ID_3,PG_ID_2,PG_ID_1,NORMAL_PRICE,L_ID,SALES_AREA,DATE,SCHOOL_HOLIDAY,EVENT,PROMOTION_TYPE,SALES_PRICE,LAMBDA,SALES
15,2,1,1,19.11,2,6321.6800893695445,2020-09-19,0.0,,0,19.11,1.405018800156974,0
15,2,1,1,19.11,2,6321.6800893695445,2020-08-14,0.0,,0,19.11,2.815779343933485,4
5,2,1,1,10.21,2,6321.6800893695445,2021-11-28,0.0,,1,6.77435698827225,4.716399283440234,5
20,1,1,1,10.34,1,6993.3012095574695,2021-11-06,0.0,,0,10.34,1.783195206598893,2
10,1,1,1,9.89,1,6993.3012095574695,2019-10-17,0.0,,0,9.89,2.7476439564352195,0
17,2,1,1,0.47,2,6321.6800893695445,2021-03-16,0.0,,0,0.47,10.059669724318658,14
20,1,1,1,10.34,1,6993.3012095574695,2020-12-11,0.0,,0,10.34,1.4330560934044339,2
20,1,1,1,10.34,1,6993.3012095574695,2020-01-02,0.0,,0,10.34,0.00013849057721118766,0
14,1,1,1,11.36,2,6321.6800893695445,2021-05-25,0.0,,0,11.36,1.1578788319523028,1
20,1,1,1,10.34,2,6321.6800893695445,2021-05-29,0.0,,0,10.34,1.1319111612008061,1
8,1,1,1,1.58,2,6321.6800893695445,2022-07-26,1.0,,0,1.58,2.4070703850352237,4
10,1,1,1,9.89,2,6321.6800893695445,2019-12-09,0.0,,0,9.89,3.4799655249932284,4
6,1,1,1,44.87,1,6993.3012095574695,2020-03-28,0.0,,0,44.87,1.1800153525689807,0
10,1,1,1,9.89,2,6321.6800893695445,2021-07-08,1.0,,0,9.89,2.7799299214965414,1
12,1,1,1,1.51,2,6321.6800893695445,2021-06-07,0.0,,0,1.51,2.3844115510232977,2
8,1,1,1,1.58,1,6993.3012095574695,2021-03-30,0.0,,0,1.58,1.389755181263178,0
12,1,1,1,1.51,2,6321.6800893695445,2022-02-18,0.0,,0,1.51,2.5388297671480142,1
14,1,1,1,11.36,2,6321.6800893695445,2022-09-29,0.0,,0,11.36,1.6980580910057217,3
19,2,1,1,3.1,1,6993.3012095574695,2021-01-31,0.0,,0,3.1,2.2239400173423043,2
5,2,1,1,10.21,1,6993.3012095574695,2021-11-05,0.0,,0,10.21,2.455548637375501,2
13,2,1,1,36.84,1,6993.3012095574695,2022-06-25,0.0,,0,36.84,0.9461698118579673,1
17,2,1,1,0.47,2,6321.6800893695445,2021-07-16,1.0,,0,0.47,8.146381755760762,5
8,1,1,1,1.58,1,6993.3012095574695,2022-06-13,0.0,,0,1.58,0.3241081132508146,2
6,1,1,1,44.87,2,6321.6800893695445,2020-03-11,0.0,,0,44.87,1.2048976954501993,1
11,2,1,1,15.64,1,6993.3012095574695,2021-02-11,0.0,,0,15.64,2.2318396936457017,8
10,1,1,1,9.89,1,6993.3012095574695,2019-10-25,0.0,,0,9.89,3.6871861181500796,4
5,2,1,1,10.21,1,6993.3012095574695,2019-11-08,0.0,,1,6.77435698827225,3.7066562033610633,9
14,1,1,1,11.36,1,6993.3012095574695,2021-08-10,0.0,,0,11.36,1.3496160960563566,1
5,2,1,1,10.21,2,6321.6800893695445,2022-04-18,0.0,,0,10.21,15.605064612105902,16
15,2,1,1,19.11,1,6993.3012095574695,2020-04-22,0.0,,0,19.11,2.036897809425055,0
16,1,1,1,14.25,1,6993.3012095574695,2020-06-06,0.0,,0,14.25,2.3777948230057917,2
6,1,1,1,44.87,1,6993.3012095574695,2020-01-02,0.0,,0,44.87,6.0141396368579105e-05,0
12,1,1,1,1.51,1,6993.3012095574695,2020-06-08,1.0,,1,0.9023351569222916,3.72740169011524,1
16,1,1,1,14.25,2,6321.6800893695445,2020-03-30,0.0,,0,14.25,3.4704528070905973,3
15,2,1,1,19.11,1,6993.3012095574695,2020-06-05,0.0,,0,19.11,2.063908414695394,5
5,2,1,1,10.21,1,6993.3012095574695,2021-03-13,0.0,Local_Holiday_0,0,10.21,1.9405446229236158,1
